job_title,salary_usd,years_of_experience,city,jd
Facebook Ads Marketing Specialist,400.0,0.5,Hanoi,"Participate in managing Facebook ad campaigns for the company.
Build and manage company pages and ad accounts.
Identify potential customer data and prospects for product needs.
Develop and promote the product and company brand across digital channels.
Carry out additional tasks as assigned by the supervisor.
Demonstrate basic Photoshop and video editing skills; maintain strong computer proficiency and teamwork."
"Regional Sales Manager - Northwest Region (ASM), FMCG",760.0,2.0,Hanoi,"Develop and implement monthly, quarterly, and annual sales strategies for the assigned region to achieve target metrics.
Be responsible for sales results according to set targets and manage the distribution network within the region.
Collaborate with Marketing to execute Trade Marketing programs and support communications to enhance product visibility at points of sale and build brand awareness.
Recruit, train, coach, and evaluate the regional sales team; ensure adherence to company policies and compliance across the team.
Support sales team in building and developing the point-of-sale network; explore new distributors and maintain relationships with existing ones.
Analyze market and sales data, assess product quality, compare with competitors, and provide insights to drive higher product sales in the region."
Head of Admissions Consulting Team,480.0,2.0,"Vinh, Nghệ An, Vietnam","Lead and manage a team of 6-10 admissions consulting sales staff.
Plan and execute weekly, monthly, quarterly, and yearly business plans to identify, advise, and close clients to meet sales targets.
Coordinate with schools, buildings, and other entities with shared client bases to generate potential leads.
Monitor and drive the team's performance to operate effectively and achieve KPIs; coach staff to convert prospects into students.
Recruit, train, and develop sales personnel to align with company requirements.
Prepare and submit reports to management as required and comply with directives; report directly to the Center Director."
Sales Manager (New ALPHA Project),1400.0,1.0,Hanoi,"Plan sales strategy and set business development targets.
Develop and manage client portfolios; expand the customer base.
Monitor sales activities, performance, and results; report findings.
Provide pre-sales and post-sales customer support to ensure satisfaction.
Build personal brand on social platforms (TikTok, Zalo, Facebook) to generate leads.
Collaborate with the team to achieve sales targets; participate in training and development."
Technical Leader (Fluent English),1600.0,5.0,"Hanoi, Vietnam","Create high-quality applications and solutions; analyze requirements and design and develop functionalities based on project requirements.
Constantly optimize the product and development process, identify and fix issues, and improve stability and availability of the product.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Work on assigned tasks under a direct manager and coordinate among teams to ensure alignment and quality.
Fluent in verbal and written English; 5+ years of experience in developing web, web-app, and application projects; strong experience with Java, C#, JavaScript, and related technologies.
Demonstrate a structured, solution-oriented mindset with good problem-solving, communication, and potential to mentor others; proactive and capable of working with international teams."
Trade Marketing Executive,320.0,0.5,Ho Chi Minh City,"Assist sales staff in distributing products to supermarket chains.
Support activities for Key Account Management (KAM).
Execute promotional programs and manage sampling activities.
Coordinate nationwide recruitment of promotional staff as required.
Monitor work performance and compensation policies for promotional staff.
Perform other duties as assigned by the supervisor."
Executive Assistant to CEO,1000.0,2.0,Hanoi,"Plan meetings and prepare for the CEO's business trips.
Plan and organize the CEO's schedule, and prepare documents and reports for the CEO.
Support the CEO in managing and directing the company's operations.
Attend meetings, conferences, and negotiations with internal and external stakeholders.
Perform administrative, office, and other tasks as required by the CEO.
Advise on and implement solutions for issues arising in the work environment.
Represent the CEO in meetings, monitor progress, and handle other specialist tasks as assigned."
Automotive Sales Consultant (TOYOTA) - No Experience Required,160.0,0.0,Ho Chi Minh City,"Identify and manage new and potential customers to achieve sales targets.
Present products, pricing, services, and promotions to meet customer needs.
Plan and execute sales activities to achieve monthly targets.
Collaborate with Marketing to implement company-wide strategies, customer care, and market development.
Sell new cars and related product packages; promote ancillary services (parts, insurance, etc.).
Provide post-sale support and customer care; participate in product and sales training."
IT Staff,360.0,4.0,"Đắk Lắk, Vietnam","Install, maintain, repair, and upgrade computer networks, network devices, software, and hardware for the company.
Manage and monitor network systems to ensure stable, secure, and efficient operation.
Provide technical support to users and resolve issues related to networks, software, and hardware.
Participate in IT projects and apply information technology to enhance business operations.
Lead or participate in digital transformation efforts within the company; familiarity with Office 365 preferred.
Requirements: diploma/college/university in IT, Network Administration or related fields; knowledge of computer networks, network systems, devices, software, and hardware; strong problem-solving and troubleshooting skills; ability to work independently and in a team; proactive, energetic, and responsible."
Area Sales Manager,600.0,2.0,Ho Chi Minh City,"Lead and manage a sales team to achieve growth and revenue targets.
Develop and execute business strategies to expand the customer base and brand coverage.
Recruit, train, and monitor performance of the sales staff.
Build and nurture long-term relationships with customers and partners.
Develop and implement sales programs from planning to closing and delivery.
Identify potential markets, monitor competitors and product trends, and report on sales results, revenue, and profitability."
Pharmaceutical Sales Manager,720.0,2.0,Long An and multiple locations nationwide,"Advise the CEO on sales plans and market development strategies.
Oversee OTC Medical Representatives to achieve monthly, quarterly, and yearly sales targets.
Support sales representatives in daily activities, sales efforts, and issue resolution.
Monitor customer debt collection and report sales performance to the CEO.
Build and develop a strong customer base locally and identify potential new customers; coordinate with Marketing to implement promotions and after-sales programs.
Coordinate with Human Resources to recruit, allocate targets, train, and monitor the effectiveness of the sales team; report on sales activities and market changes; stay updated on competitors and new products."
